time/iterations,time/total_timesteps,train/reward,train/explained_variance,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,train/std,train/entropy_loss,train/policy_loss,train/n_updates
6800,34000,-0.53696585,5.960464477539063e-08,0.0007,277,3.1168389320373535,122,1.155735731124878,-14.04621410369873,19.417448043823242,6799
6900,34500,-0.37269711,0.0,0.0007,281,2.294860363006592,122,1.1603196859359741,-14.080751419067383,-21.23960304260254,6899
7000,35000,0.55109465,0.0,0.0007,286,0.3275510370731354,122,1.158725619316101,-14.063117980957031,8.438116073608398,6999
7100,35500,0.112015806,0.0,0.0007,290,0.0568925142288208,122,1.1591030359268188,-14.070672988891602,-3.3899471759796143,7099
7200,36000,5.879688e-06,1.1920928955078125e-07,0.0007,294,0.007944866083562374,122,1.168607473373413,-14.142199516296387,1.1161346435546875,7199
7300,36500,0.06844749,0.0,0.0007,298,0.22095008194446564,122,1.177902102470398,-14.211204528808594,6.970526695251465,7299
7400,37000,0.43264148,0.0173799991607666,0.0007,302,0.5349310636520386,122,1.1790618896484375,-14.226115226745605,-9.219470024108887,7399
7500,37500,0.3736649,-1.1920928955078125e-07,0.0007,306,0.013031816110014915,122,1.1866276264190674,-14.277921676635742,-0.12512168288230896,7499
7600,38000,0.14534403,0.0,0.0007,310,0.20872144401073456,122,1.1904187202453613,-14.310232162475586,4.312838077545166,7599
7700,38500,-6.3752173e-06,0.0008406639099121094,0.0007,314,0.003255645278841257,122,1.1891093254089355,-14.298687934875488,0.6600102186203003,7699
7800,39000,-0.04706828,0.0,0.0007,318,0.015479708090424538,122,1.1972689628601074,-14.353686332702637,1.4740426540374756,7799
7900,39500,2.3665809e-05,1.7881393432617188e-07,0.0007,323,0.1474951207637787,122,1.2083795070648193,-14.439236640930176,-5.5617995262146,7899
8000,40000,-0.4454854,0.0,0.0007,327,0.09102754294872284,122,1.211409330368042,-14.460996627807617,-4.17641544342041,7999
8100,40500,0.5390599,0.0,0.0007,331,0.6728459596633911,122,1.2208582162857056,-14.53309154510498,-9.35306453704834,8099
8200,41000,-1.0563662,0.05295687913894653,0.0007,335,10.130002975463867,122,1.2217297554016113,-14.544161796569824,-48.1889762878418,8199
8300,41500,-0.12774627,0.0,0.0007,339,0.1581915318965912,122,1.2255797386169434,-14.567151069641113,-4.38698673248291,8299
8400,42000,-0.06648752,1.1920928955078125e-07,0.0007,344,0.01489800401031971,122,1.2435247898101807,-14.698040962219238,-1.4949350357055664,8399
8500,42500,0.21078806,0.0,0.0007,348,0.04383128136396408,122,1.2537950277328491,-14.77501106262207,2.148841142654419,8499
8600,43000,0.41611865,1.1920928955078125e-07,0.0007,352,0.04557635262608528,122,1.2579030990600586,-14.802728652954102,0.9610809087753296,8599
8700,43500,0.4907931,0.0,0.0007,356,1.148512840270996,122,1.2662408351898193,-14.860081672668457,-13.602157592773438,8699
8800,44000,-0.27361083,0.0,0.0007,360,0.2674984335899353,122,1.2734180688858032,-14.911755561828613,2.371661424636841,8799
8900,44500,0.24059634,-0.5317165851593018,0.0007,364,0.3183804452419281,122,1.274010181427002,-14.91773796081543,8.194587707519531,8899
9000,45000,0.06247532,-1.4175474643707275,0.0007,368,0.05374448373913765,122,1.2837823629379272,-14.987249374389648,-2.0163767337799072,8999
9100,45500,0.11122708,-5.129384994506836,0.0007,372,0.062471527606248856,122,1.2884052991867065,-15.0217924118042,-3.211376667022705,9099
9200,46000,0.005199269,0.1000063419342041,0.0007,376,0.053567249327898026,122,1.2953726053237915,-15.070396423339844,3.091151237487793,9199
9300,46500,0.052404102,8.505582809448242e-05,0.0007,380,0.003494626609608531,122,1.3061871528625488,-15.1434965133667,-0.22082194685935974,9299
9400,47000,0.1440152,-0.014768600463867188,0.0007,384,0.07059899717569351,122,1.3137329816818237,-15.193361282348633,0.8050459027290344,9399
9500,47500,0.0960647,-0.5275429487228394,0.0007,388,0.05343831330537796,122,1.3234903812408447,-15.256970405578613,-1.1084954738616943,9499
9600,48000,-0.16627398,-1.7274961471557617,0.0007,393,0.04158142954111099,122,1.3347394466400146,-15.330232620239258,2.563352346420288,9599
9700,48500,-0.030238798,0.6965405642986298,0.0007,396,0.027826303616166115,122,1.3495042324066162,-15.432205200195312,2.576453447341919,9699
9800,49000,-0.054719113,0.023792386054992676,0.0007,401,0.179507777094841,122,1.3619122505187988,-15.514172554016113,-6.04324197769165,9799
9900,49500,-0.09464264,-0.022294998168945312,0.0007,405,0.14033423364162445,122,1.3742315769195557,-15.593297958374023,-5.6927809715271,9899
10000,50000,-1.6147324,0.004283308982849121,0.0007,409,0.602508008480072,122,1.3724581003189087,-15.581232070922852,10.118162155151367,9999
